Sprite URL,Item Name,Pokemon Name,Base Move,Z-Move
//cdn2.bulbagarden.net/upload/6/6d/Held_Aloraichium_Z_Sprite.png,aloraichium_z,alolan_raichu,thunderbolt,stoked_sparksurfer
//cdn2.bulbagarden.net/upload/8/8e/Held_Decidium_Z_Sprite.png,decidium_z,decidueye,spirit_shackle,sinister_arrow_raid
//cdn2.bulbagarden.net/upload/a/a2/Held_Eevium_Z_Sprite.png,eevium_z,eevee,last_resort,extreme_evoboost
//cdn2.bulbagarden.net/upload/f/f9/Held_Incinium_Z_Sprite.png,incinium_z,incineroar,darkest_lariat,malicious_moonsault
//cdn2.bulbagarden.net/upload/6/63/Held_Kommonium_Z_Sprite.png,kommonium_z,kommo_o,clanging_scales,clangorous_soulblaze
//cdn2.bulbagarden.net/upload/d/dc/Held_Lunalium_Z_Sprite.png,lunalium_z,lunala,moongeist_beam,menacing_moonraze_maelstrom
//cdn2.bulbagarden.net/upload/d/dc/Held_Lunalium_Z_Sprite.png,lunalium_z,necrozma_dawn_wings,moongeist_beam,menacing_moonraze_maelstrom
//cdn2.bulbagarden.net/upload/0/0f/Held_Lycanium_Z_Sprite.png,lycanium_z,lycanroc,stone_edge,splintered_stormshards
//cdn2.bulbagarden.net/upload/e/e5/Held_Marshadium_Z_Sprite.png,marshadium_z,marshadow,spectral_thief,soul_stealing_7_star_strike
//cdn2.bulbagarden.net/upload/c/c8/Held_Mewnium_Z_Sprite.png,mewnium_z,mew,psychic,genesis_supernova
//cdn2.bulbagarden.net/upload/8/8f/Held_Mimikium_Z_Sprite.png,mimikium_z,mimikyu,play_rough,lets_snuggle_forever
//cdn2.bulbagarden.net/upload/8/84/Held_Pikanium_Z_Sprite.png,pikanium_z,pikachu_normal_form,volt_tackle,catastropika
//cdn2.bulbagarden.net/upload/a/a1/Held_Pikashunium_Z_Sprite.png,pikashunium_z,pikachu_in_a_cap,thunderbolt,10000000_volt_thunderbolt
//cdn2.bulbagarden.net/upload/9/98/Held_Primarium_Z_Sprite.png,primarium_z,primarina,sparkling_aria,oceanic_operetta
//cdn2.bulbagarden.net/upload/0/05/Held_Snorlium_Z_Sprite.png,snorlium_z,snorlax,giga_impact,pulverizing_pancake
//cdn2.bulbagarden.net/upload/c/cc/Held_Solganium_Z_Sprite.png,solganium_z,solgaleo,sunsteel_strike,searing_sunraze_smash
//cdn2.bulbagarden.net/upload/c/cc/Held_Solganium_Z_Sprite.png,solganium_z,necrozma_dusk_mane,sunsteel_strike,searing_sunraze_smash
//cdn2.bulbagarden.net/upload/4/41/Held_Tapunium_Z_Sprite.png,tapunium_z,tapu_koko_tapu_lele_tapu_bulu,natures_madness,guardian_of_alola
//cdn2.bulbagarden.net/upload/4/41/Held_Tapunium_Z_Sprite.png,tapunium_z,tapu_fini,natures_madness,guardian_of_alola
//cdn2.bulbagarden.net/upload/4/45/Held_Ultranecrozium_Z_Sprite.png,ultranecrozium_z,necrozma_ultra,photon_geyser,light_that_burns_the_sky
