Active Move Name,Target Move Name,1,2,3,4,5,6,7,8
snatch,acid_armor,F,F,T,T,T,T,T,F
snatch,acupressure,F,F,F,T,F,F,F,F
snatch,agility,F,F,T,T,T,T,T,F
snatch,amnesia,F,F,T,T,T,T,T,F
snatch,aqua_ring,F,F,F,F,T,T,T,F
snatch,aromatherapy,F,F,T,T,T,T,T,F
snatch,aurora_veil,F,F,F,F,F,F,T,F
snatch,autotomize,F,F,F,F,T,T,T,F
snatch,barrier,F,F,T,T,T,T,T,F
snatch,belly_drum,F,F,T,T,T,T,T,F
snatch,bulk_up,F,F,T,T,T,T,T,F
snatch,calm_mind,F,F,T,T,T,T,T,F
snatch,camouflage,F,F,T,T,T,T,T,F
snatch,charge,F,F,T,T,T,T,T,F
snatch,coil,F,F,F,F,T,T,T,F
snatch,conversion,F,F,F,F,T,T,T,F
snatch,cosmic_power,F,F,T,T,T,T,T,F
snatch,cotton_guard,F,F,F,F,T,T,T,F
snatch,defend_order,F,F,F,T,T,T,T,F
snatch,defense_curl,F,F,T,T,T,T,T,F
snatch,double_team,F,F,T,T,T,T,T,F
snatch,dragon_dance,F,F,T,T,T,T,T,F
snatch,focus_energy,F,F,T,T,T,T,T,F
snatch,gear_up,F,F,F,F,F,F,T,F
snatch,growth,F,F,T,T,T,T,T,F
snatch,harden,F,F,T,T,T,T,T,F
snatch,heal_bell,F,F,T,T,T,T,T,F
snatch,heal_order,F,F,F,T,T,T,T,F
snatch,healing_wish,F,F,F,F,T,T,T,F
snatch,hone_claws,F,F,F,F,T,T,T,F
snatch,howl,F,F,T,T,T,T,T,F
snatch,imprison,F,F,F,F,T,T,T,F
snatch,ingrain,F,F,T,T,T,T,T,F
snatch,iron_defense,F,F,T,T,T,T,T,F
snatch,laser_focus,F,F,F,F,F,F,T,F
snatch,light_screen,F,F,T,T,T,T,T,F
snatch,lucky_chant,F,F,F,F,T,T,T,F
snatch,lunar_dance,F,F,F,F,T,T,T,F
snatch,magnet_rise,F,F,F,F,T,T,T,F
snatch,magnetic_flux,F,F,F,F,F,T,T,F
snatch,mat_block,F,F,F,F,F,T,T,F
snatch,meditate,F,F,T,T,T,T,T,F
snatch,milk_drink,F,F,T,T,T,T,T,F
snatch,minimize,F,F,T,T,T,T,T,F
snatch,mist,F,F,T,T,T,T,T,F
snatch,moonlight,F,F,T,T,T,T,T,F
snatch,morning_sun,F,F,T,T,T,T,T,F
snatch,nasty_plot,F,F,F,T,T,T,T,F
snatch,power_trick,F,F,F,F,T,T,T,F
snatch,psych_up,F,F,T,T,F,F,F,F
snatch,quick_guard,F,F,F,F,T,T,T,F
snatch,quiver_dance,F,F,F,F,T,T,T,F
snatch,recover,F,F,T,T,T,T,T,F
snatch,recycle,F,F,F,F,T,T,T,F
snatch,reflect,F,F,T,T,T,T,T,F
snatch,refresh,F,F,T,T,T,T,T,F
snatch,rest,F,F,T,T,T,T,T,F
snatch,rock_polish,F,F,F,T,T,T,T,F
snatch,roost,F,F,F,T,T,T,T,F
snatch,safeguard,F,F,T,T,T,T,T,F
snatch,sharpen,F,F,T,T,T,T,T,F
snatch,shell_smash,F,F,F,F,T,T,T,F
snatch,shift_gear,F,F,F,F,T,T,T,F
snatch,shore_up,F,F,F,F,F,F,T,F
snatch,slack_off,F,F,T,T,T,T,T,F
snatch,soft_boiled,F,F,T,T,T,T,T,F
snatch,stockpile,F,F,T,T,T,T,T,F
snatch,substitute,F,F,T,T,T,T,T,F
snatch,swallow,F,F,T,T,T,T,T,F
snatch,swords_dance,F,F,T,T,T,T,T,F
snatch,synthesis,F,F,T,T,T,T,T,F
snatch,tail_glow,F,F,T,T,T,T,T,F
snatch,tailwind,F,F,F,T,T,T,T,F
snatch,wide_guard,F,F,F,F,T,T,T,F
snatch,wish,F,F,F,F,T,T,T,F
snatch,withdraw,F,F,T,T,T,T,T,F
snatch,work_up,F,F,F,F,T,T,T,F
magic_coat,attract,F,F,T,T,T,T,T,T
magic_coat,baby_doll_eyes,F,F,F,F,F,T,T,T
magic_coat,block,F,F,T,T,T,T,T,T
magic_coat,captivate,F,F,F,T,T,T,T,F
magic_coat,charm,F,F,T,T,T,T,T,T
magic_coat,confide,F,F,F,F,F,T,T,T
magic_coat,confuse_ray,F,F,T,T,T,T,T,T
magic_coat,corrosive_gas,F,F,F,F,F,F,F,T
magic_coat,cotton_spore,F,F,T,T,T,T,T,T
magic_coat,dark_void,F,F,F,T,T,T,T,F
magic_coat,defog,F,F,F,F,T,T,T,T
magic_coat,disable,F,F,F,F,T,T,T,T
magic_coat,eerie_impulse,F,F,F,F,F,T,T,T
magic_coat,embargo,F,F,F,F,T,T,T,F
magic_coat,encore,F,F,F,F,T,T,T,T
magic_coat,entrainment,F,F,F,F,T,T,T,T
magic_coat,fake_tears,F,F,T,T,T,T,T,T
magic_coat,feather_dance,F,F,T,T,T,T,T,T
magic_coat,flash,F,F,T,T,T,T,T,F
magic_coat,flatter,F,F,T,T,T,T,T,T
magic_coat,floral_healing,F,F,F,F,F,F,T,F
magic_coat,foresight,F,F,F,F,T,T,T,F
magic_coat,forests_curse,F,F,F,F,F,T,T,T
magic_coat,gastro_acid,F,F,F,T,T,T,T,T
magic_coat,glare,F,F,T,T,T,T,T,T
magic_coat,grass_whistle,F,F,T,T,T,T,T,F
magic_coat,growl,F,F,T,T,T,T,T,T
magic_coat,heal_block,F,F,F,F,T,T,T,F
magic_coat,heal_pulse,F,F,F,F,T,T,T,T
magic_coat,hypnosis,F,F,T,T,T,T,T,T
magic_coat,kinesis,F,F,F,T,T,T,T,F
magic_coat,leech_seed,F,F,T,T,T,T,T,T
magic_coat,leer,F,F,T,T,T,T,T,T
magic_coat,lovely_kiss,F,F,T,T,T,T,T,F
magic_coat,magic_powder,F,F,F,F,F,F,F,T
magic_coat,mean_look,F,F,T,T,T,T,T,T
magic_coat,metal_sound,F,F,T,T,T,T,T,T
magic_coat,miracle_eye,F,F,F,F,T,T,T,F
magic_coat,noble_roar,F,F,F,F,F,T,T,T
magic_coat,odor_sleuth,F,F,F,F,T,T,T,F
magic_coat,parting_shot,F,F,F,F,F,T,T,T
magic_coat,play_nice,F,F,F,F,F,T,T,T
magic_coat,poison_gas,F,F,T,T,T,T,T,T
magic_coat,poison_powder,F,F,T,T,T,T,T,T
magic_coat,powder,F,F,F,F,F,T,T,T
magic_coat,purify,F,F,F,F,F,F,T,T
magic_coat,roar,F,F,F,F,T,T,T,T
magic_coat,sand_attack,F,F,T,T,T,T,T,T
magic_coat,scary_face,F,F,T,T,T,T,T,T
magic_coat,screech,F,F,T,T,T,T,T,T
magic_coat,simple_beam,F,F,F,F,T,T,T,T
magic_coat,sing,F,F,T,T,T,T,T,T
magic_coat,sleep_powder,F,F,T,T,T,T,T,T
magic_coat,smokescreen,F,F,T,T,T,T,T,T
magic_coat,soak,F,F,F,F,T,T,T,T
magic_coat,spider_web,F,F,T,T,T,T,T,F
magic_coat,spikes,F,F,F,F,T,T,T,T
magic_coat,spite,F,F,F,F,T,T,T,T
magic_coat,spore,F,F,T,T,T,T,T,T
magic_coat,spotlight,F,F,F,F,F,F,T,F
magic_coat,stealth_rock,F,F,F,F,T,T,T,T
magic_coat,sticky_web,F,F,F,F,F,T,T,T
magic_coat,strength_sap,F,F,F,F,F,F,T,T
magic_coat,string_shot,F,F,T,T,T,T,T,T
magic_coat,stun_spore,F,F,T,T,T,T,T,T
magic_coat,supersonic,F,F,T,T,T,T,T,T
magic_coat,swagger,F,F,T,T,T,T,T,T
magic_coat,sweet_kiss,F,F,T,T,T,T,T,T
magic_coat,sweet_scent,F,F,T,T,T,T,T,T
magic_coat,tail_whip,F,F,T,T,T,T,T,T
magic_coat,tar_shot,F,F,F,F,F,F,F,T
magic_coat,taunt,F,F,F,F,T,T,T,T
magic_coat,tearful_look,F,F,F,F,F,F,T,T
magic_coat,telekinesis,F,F,F,F,T,T,T,F
magic_coat,thunder_wave,F,F,T,T,T,T,T,T
magic_coat,tickle,F,F,T,T,T,T,T,T
magic_coat,topsy_turvy,F,F,F,F,F,T,T,T
magic_coat,torment,F,F,F,F,T,T,T,T
magic_coat,toxic,F,F,T,T,T,T,T,T
magic_coat,toxic_spikes,F,F,F,F,T,T,T,T
magic_coat,toxic_thread,F,F,F,F,F,F,T,F
magic_coat,trick_or_treat,F,F,F,F,F,T,T,T
magic_coat,venom_drench,F,F,F,F,F,T,T,T
magic_coat,whirlwind,F,F,F,F,T,T,T,T
magic_coat,will_o_wisp,F,F,T,T,T,T,T,T
magic_coat,worry_seed,F,F,F,T,T,T,T,T
magic_coat,yawn,F,F,T,T,T,T,T,T
