Ability Name,SM,USUM,PE
adaptability,1,1
aerilate,1,1
aftermath,2,2
air_lock,1,1
analytic,2,2
anger_point,3,3
anticipation,3,3
arena_trap,2,2
aroma_veil,1,1
aura_break,1,1
bad_dreams,1,1
battery,0,0
battle_armor,3,3
battle_bond,0,0
beast_boost,0,0
berserk,0,0
big_pecks,1,1
blaze,3,3
bulletproof,0,0
cheek_pouch,0,0
chlorophyll,3,3
clear_body,3,3
cloud_nine,1,1
color_change,2,2
comatose,0,0
competitive,1,1
compound_eyes,3,3
contrary,0,0
corrosion,0,0
cursed_body,0,0
cute_charm,1,1
damp,3,3
dancer,0,0
dark_aura,0,0
dazzling,0,0
defeatist,1,1
defiant,2,2
delta_stream,1,1
desolate_land,1,1
disguise,0,0
download,3,3
drizzle,2,2
drought,3,3
dry_skin,2,2
early_bird,2,2
effect_spore,3,3
electric_surge,0,0
emergency_exit,0,0
fairy_aura,0,0
filter,2,2
flame_body,2,2
flare_boost,1,1
flash_fire,3,3
flower_gift,2,2
flower_veil,1,1
fluffy,0,0
forecast,2,2
forewarn,3,3
friend_guard,0,0
frisk,3,3
full_metal_body,0,0
fur_coat,1,1
gale_wings,1,1
galvanize,0,0
gluttony,2,2
gooey,0,0
grass_pelt,1,1
grassy_surge,0,0
guts,3,3
harvest,0,0
healer,1,1
heatproof,1,1
heavy_metal,0,0
honey_gather,1,1
huge_power,3,3
hustle,1,1
hydration,1,1
hyper_cutter,4,4
ice_body,1,1
illuminate,2,2
illusion,1,1
immunity,2,2
imposter,1,1
infiltrator,2,2
innards_out,0,0
inner_focus,3,3
insomnia,2,2
intimidate,3,3
iron_barbs,2,2
iron_fist,1,1
justified,2,2
keen_eye,3,3
klutz,0,0
leaf_guard,3,3
levitate,2,2
light_metal,0,0
lightning_rod,4,4
limber,3,3
liquid_ooze,3,3
liquid_voice,0,0
long_reach,0,0
magic_bounce,2,2
magic_guard,0,0
magician,0,0
magma_armor,2,2
magnet_pull,2,2
marvel_scale,4,4
mega_launcher,0,0
merciless,0,0
minus,4,4
misty_surge,0,0
mold_breaker,2,2
moody,1,1
motor_drive,2,2
moxie,2,2
multiscale,2,2
multitype,2,2
mummy,2,2
natural_cure,3,3
neuroforce,0,0
no_guard,2,2
normalize,2,2
oblivious,4,4
overcoat,2,2
overgrow,3,3
own_tempo,2,2
parental_bond,1,1
pickpocket,1,1
pickup,2,2
pixilate,1,1
plus,4,4
poison_heal,1,1
poison_point,2,2
poison_touch,1,1
power_construct,0,0
power_of_alchemy,0,0
prankster,0,0
pressure,3,3
primordial_sea,1,1
prism_armor,0,0
protean,1,1
psychic_surge,0,0
pure_power,4,4
queenly_majesty,0,0
quick_feet,1,1
rain_dish,2,2
rattled,2,2
receiver,0,0
reckless,0,0
refrigerate,1,1
regenerator,0,0
rivalry,3,3
rks_system,0,0
rock_head,1,1
rough_skin,3,3
run_away,2,2
sand_force,1,1
sand_rush,1,1
sand_stream,2,2
sand_veil,1,1
sap_sipper,2,2
schooling,0,0
scrappy,3,3
serene_grace,3,3
shadow_shield,0,0
shadow_tag,3,3
shed_skin,3,3
sheer_force,2,2
shell_armor,3,3
shield_dust,3,3
shields_down,0,0
simple,1,1
skill_link,2,2
slow_start,2,2
slush_rush,0,0
sniper,1,1
snow_cloak,1,1
snow_warning,1,1
solar_power,3,3
solid_rock,2,2
soul_heart,0,0
soundproof,2,2
speed_boost,3,3
stakeout,0,0
stall,1,1
stamina,0,0
stance_change,1,1
static,2,2
steadfast,2,2
steelworker,0,0
stench,3,3
sticky_hold,2,2
storm_drain,3,3
strong_jaw,1,1
sturdy,3,3
suction_cups,4,4
super_luck,2,2
surge_surfer,0,0
swarm,3,3
sweet_veil,0,0
swift_swim,2,2
symbiosis,1,1
synchronize,4,4
tangled_feet,1,1
tangling_hair,0,0
technician,0,0
telepathy,0,0
teravolt,1,1
thick_fat,4,4
tinted_lens,2,2
torrent,3,3
tough_claws,0,0
toxic_boost,1,1
trace,4,4
triage,0,0
truant,4,4
turboblaze,1,1
unaware,3,3
unburden,3,3
unnerve,1,1
victory_star,0,0
vital_spirit,2,2
volt_absorb,2,2
water_absorb,2,2
water_bubble,0,0
water_compaction,0,0
water_veil,2,2
weak_armor,2,2
white_smoke,3,3
wimp_out,0,0
wonder_guard,2,2
wonder_skin,1,1
zen_mode,1,1
