Item Name,DP,Pt,HGSS,PBR
amulet_coin,3,3,3
berry_juice,3,3,3
berserk_gene
big_root,0,0,1
black_sludge,0,0,1
blue_orb,2
bright_powder,2,2,2
choice_band,2,2,2
choice_scarf,0,0,0
choice_specs,0,0,0
damp_rock,0,0,1
destiny_knot,0,0,0
expert_belt,0,0,0
flame_orb,0,0,0
focus_band,3,3,3
focus_sash,0,0,0
full_incense,0,0,0
grip_claw,0,0,1
heat_rock,0,0,1
icy_rock,0,0,1
iron_ball,0,0,1
kings_rock,4,4,4
lagging_tail,0,0,0
lax_incense,2,2,2
leftovers,4,4,4
life_orb,0,0,0
light_clay,0,0,1
luck_incense,0,0,0
macho_brace,3,3,3
mental_herb,2,2,2
metronome_(item),0,0,1
muscle_band,0,0,0
odd_incense,0,0,0
power_anklet,0,0,1
power_band,0,0,1
power_belt,0,0,1
power_bracer,0,0,1
power_herb,0,0,0
power_lens,0,0,1
power_weight,0,0,1
quick_claw,4,4,4
razor_claw,0,0,0
razor_fang,0,0,0
red_orb,2
rock_incense,0,0,0
rose_incense,0,0,0
scope_lens,4,4,4
sea_incense,2,2,2
shed_shell,0,0,0
shell_bell,2,2,2
smoke_ball,5,5,5
smooth_rock,0,0,1
sticky_barb,0,0,1
toxic_orb,0,0,0
wave_incense,0,0,0
white_herb,1,1,1
wide_lens,0,0,0
wise_glasses,0,0,0
zoom_lens,0,1,1
