Effect Name,Move Name
consecutive,ice_ball
consecutive,outrage
consecutive,petal_dance
consecutive,rollout
consecutive,thrash
consecutive,uproar
counterattack,bide
counterattack,counter
counterattack,metal_burst
counterattack,mirror_coat
changes_form,kings_shield
changes_form,relic_song
changes_form,secret_sword
drains,absorb
drains,bouncy_bubble
drains,drain_punch
drains,draining_kiss
drains,dream_eater
drains,giga_drain
drains,horn_leech
drains,leech_life
drains,leech_seed
drains,mega_drain
drains,oblivion_wing
drains,parabolic_charge
manipulates_item,bestow
manipulates_item,bug_bite
manipulates_item,corrosive_gas
manipulates_item,covet
manipulates_item,embargo
manipulates_item,fling
manipulates_item,g_max_replenish
manipulates_item,incinerate
manipulates_item,knock_off
manipulates_item,magic_room
manipulates_item,natural_gift
manipulates_item,pluck
manipulates_item,recycle
manipulates_item,stuff_cheeks
manipulates_item,switcheroo
manipulates_item,teatime
manipulates_item,thief
manipulates_item,trick
depends_on_weight,autotomize
depends_on_weight,grass_knot
depends_on_weight,heat_crash
depends_on_weight,heavy_slam
depends_on_weight,low_kick
depends_on_weight,sky_drop
pulse,aura_sphere
pulse,dark_pulse
pulse,dragon_pulse
pulse,heal_pulse
pulse,origin_pulse
pulse,terrain_pulse
pulse,water_pulse
ball,acid_spray
ball,aura_sphere
ball,barrage
ball,beak_blast
ball,bullet_seed
ball,egg_bomb
ball,electro_ball
ball,energy_ball
ball,focus_blast
ball,gyro_ball
ball,ice_ball
ball,magnet_bomb
ball,mist_ball
ball,mud_bomb
ball,octazooka
ball,pollen_puff
ball,pyro_ball
ball,rock_blast
ball,rock_wrecker
ball,searing_shot
ball,seed_bomb
ball,shadow_ball
ball,sludge_bomb
ball,weather_ball
ball,zap_cannon
bite,bite
bite,crunch
bite,fire_fang
bite,fishious_rend
bite,hyper_fang
bite,ice_fang
bite,jaw_lock
bite,poison_fang
bite,psychic_fangs
bite,thunder_fang
dance,dragon_dance
dance,feather_dance
dance,fiery_dance
dance,lunar_dance
dance,petal_dance
dance,quiver_dance
dance,revelation_dance
dance,swords_dance
dance,teeter_dance
explosive,explosion
explosive,mind_blown
explosive,misty_explosion
explosive,self_destruct
powder,cotton_spore
powder,magic_powder
powder,poison_powder
powder,powder
powder,rage_powder
powder,sleep_powder
powder,spore
powder,stun_spore
punch,bullet_punch
punch,comet_punch
punch,dizzy_punch
punch,double_iron_bash
punch,drain_punch
punch,dynamic_punch
punch,fire_punch
punch,focus_punch
punch,hammer_arm
punch,ice_hammer
punch,ice_punch
punch,mach_punch
punch,mega_punch
punch,meteor_mash
punch,plasma_fists
punch,power_up_punch
punch,shadow_punch
punch,sky_uppercut
punch,thunder_punch
