Move ID,Move Name
2,karate_chop
3,double_slap
4,comet_punch
13,razor_wind
26,jump_kick
27,rolling_kick
41,twineedle
49,sonic_boom
82,dragon_rage
96,meditate
99,rage
112,barrier
117,bide
119,mirror_move
121,egg_bomb
125,bone_club
128,clamp
131,spike_cannon
132,constrict
140,barrage
145,bubble
146,dizzy_punch
148,flash
149,psywave
158,hyper_fang
159,sharpen
166,sketch
169,spider_web
171,nightmare
185,feint_attack
193,foresight
216,return
218,frustration
222,magnitude
228,pursuit
237,hidden_power
265,smelling_salts
274,assist
287,refresh
289,snatch
290,secret_power
293,camouflage
294,tail_glow
300,mud_sport
301,ice_ball
302,needle_arm
316,odor_sleuth
318,silver_wind
320,grass_whistle
324,signal_beam
327,sky_uppercut
346,water_sport
354,psycho_boost
357,miracle_eye
358,wake_up_slap
363,natural_gift
373,embargo
376,trump_card
377,heal_block
378,wring_out
381,lucky_chant
382,me_first
386,punishment
391,heart_swap
426,mud_bomb
429,mirror_shot
431,rock_climb
443,magnet_bomb
445,captivate
448,chatter
449,judgment
456,heal_order
464,dark_void
465,seed_flare
466,ominous_wind
477,telekinesis
481,flame_burst
485,synchronoise
498,chip_away
507,sky_drop
516,bestow
531,heart_stamp
537,steamroller
547,relic_song
563,rototiller
569,ion_deluge
593,hyperspace_hole
600,powder
617,light_of_ruin
621,hyperspace_fury
622,breakneck_blitz
623,breakneck_blitz
624,all_out_pummeling
625,all_out_pummeling
626,supersonic_skystrike
627,supersonic_skystrike
628,acid_downpour
629,acid_downpour
630,tectonic_rage
631,tectonic_rage
632,continental_crush
633,continental_crush
634,savage_spin_out
635,savage_spin_out
636,never_ending_nightmare
637,never_ending_nightmare
638,corkscrew_crash
639,corkscrew_crash
640,inferno_overdrive
641,inferno_overdrive
642,hydro_vortex
643,hydro_vortex
644,bloom_doom
645,bloom_doom
646,gigavolt_havoc
647,gigavolt_havoc
648,shattered_psyche
649,shattered_psyche
650,subzero_slammer
651,subzero_slammer
652,devastating_drake
653,devastating_drake
654,black_hole_eclipse
655,black_hole_eclipse
656,twinkle_tackle
657,twinkle_tackle
658,catastropika
665,ice_hammer
671,spotlight
672,toxic_thread
686,revelation_dance
690,beak_blast
695,sinister_arrow_raid
696,malicious_moonsault
697,oceanic_operetta
698,guardian_of_alola
699,soul_stealing_7_star_strike
700,stoked_sparksurfer
701,pulverizing_pancake
702,extreme_evoboost
703,genesis_supernova
719,10000000_volt_thunderbolt
723,light_that_burns_the_sky
724,searing_sunraze_smash
725,menacing_moonraze_maelstrom
726,lets_snuggle_forever
727,splintered_stormshards
728,clangorous_soulblaze
729,zippy_zap
730,splishy_splash
731,floaty_fall
732,pika_papow
733,bouncy_bubble
734,buzzy_buzz
735,sizzly_slide
736,glitzy_glow
737,baddy_bad
738,sappy_seed
739,freezy_frost
740,sparkly_swirl
741,veevee_volley
